Gene,Rep,Temp.hot,Mom.is.SD,N.off.SD,N.off.total
100,2,0,0,182,358
100,1,0,1,65,97
100,2,0,1,186,285
101,1,0,0,236,399
101,2,0,0,846,1664
101,1,0,1,419,753
101,2,0,1,1121,2072
102,1,0,0,26,60
102,2,0,0,124,299
102,1,0,1,33,65
102,2,0,1,112,281
103,1,0,0,130,218
103,2,0,0,594,1124
103,1,0,1,186,346
103,2,0,1,596,1091
104,1,0,0,287,476
104,2,0,0,1435,2499
104,1,0,1,493,837
104,2,0,1,1587,2610
105,1,0,0,119,252
105,2,0,0,412,893
105,1,0,1,116,286
105,2,0,1,398,795
106,1,0,0,31,48
106,2,0,0,321,596
106,1,0,1,82,141
106,2,0,1,430,801
107,1,0,0,220,483
107,2,0,0,1546,3043
107,1,0,1,519,979
107,2,0,1,1883,3473
108,1,0,0,72,189
108,2,0,0,306,787
108,1,0,1,92,245
108,2,0,1,293,929
109,1,0,0,579,1325
109,2,0,0,2926,6818
109,1,0,1,949,2127
109,2,0,1,2802,6222
110,1,0,0,79,118
110,2,0,0,296,519
110,1,0,1,159,232
110,2,0,1,358,624
111,1,0,0,55,89
111,2,0,0,252,575
111,1,0,1,52,122
111,2,0,1,215,465
112,1,0,0,162,277
112,2,0,0,539,1041
112,1,0,1,268,455
112,2,0,1,597,1060
113,1,0,0,75,171
113,2,0,0,311,721
113,1,0,1,134,278
113,2,0,1,356,691
114,1,0,0,10,38
114,2,0,0,71,240
114,1,0,1,23,58
114,2,0,1,56,161
115,1,0,0,386,873
115,2,0,0,2015,4510
115,1,0,1,609,1389
115,2,0,1,2016,4108
116,1,0,0,252,558
116,2,0,0,4614,10683
116,1,0,1,1216,2516
116,2,0,1,6002,13580
117,1,0,0,39,84
117,2,0,0,226,428
117,1,0,1,64,130
117,2,0,1,207,396
118,1,0,0,106,184
118,2,0,0,492,923
118,1,0,1,214,366
118,2,0,1,559,1022
119,1,0,0,23,50
119,2,0,0,135,290
119,1,0,1,40,83
119,2,0,1,175,332
120,1,0,0,143,199
120,2,0,0,527,912
120,1,0,1,193,297
120,2,0,1,659,998
121,1,0,0,37,76
121,2,0,0,186,441
121,1,0,1,59,132
121,2,0,1,192,384
122,1,0,0,22,35
122,2,0,0,240,383
122,1,0,1,67,120
122,2,0,1,106,197
123,1,0,0,184,305
123,2,0,0,559,1010
123,1,0,1,273,468
123,2,0,1,693,1133
124,1,0,0,97,192
124,2,0,0,317,758
124,1,0,1,165,366
124,2,0,1,427,987
125,1,0,0,73,168
125,2,0,0,422,971
125,1,0,1,172,365
125,2,0,1,448,990
126,1,0,0,92,176
126,2,0,0,341,755
126,1,0,1,149,266
126,2,0,1,399,784
127,1,0,0,35,82
127,2,0,0,266,549
127,1,0,1,119,206
127,2,0,1,276,557
128,1,0,0,9,17
128,2,0,0,27,47
128,1,0,1,8,20
128,2,0,1,19,34
129,1,0,0,331,681
129,2,0,0,7178,16707
129,1,0,1,1718,3711
129,2,0,1,8763,18794
130,1,0,0,93,187
130,2,0,0,387,841
130,1,0,1,162,353
130,2,0,1,446,916
131,1,0,0,155,306
131,2,0,0,453,997
131,1,0,1,145,322
131,2,0,1,488,971
132,1,0,0,31,58
132,2,0,0,20,66
132,1,0,1,51,87
132,2,0,1,33,80
133,1,0,0,16,28
133,2,0,0,77,160
133,1,0,1,18,42
133,2,0,1,52,107
134,1,0,0,396,875
134,2,0,0,1808,4066
134,1,0,1,712,1441
134,2,0,1,1634,3556
135,1,0,0,898,1382
135,2,0,0,5393,8604
135,1,0,1,1628,2501
135,2,0,1,4814,7408
136,1,0,0,87,1546
136,2,0,0,979,8668
136,1,0,1,423,3304
136,2,0,1,295,7198
137,1,0,0,3365,5425
137,2,0,0,26119,43019
137,1,0,1,3490,5740
137,2,0,1,19094,31364
138,1,0,0,304,666
138,2,0,0,1180,2649
138,1,0,1,453,940
138,2,0,1,1284,2660
139,1,0,0,73,144
139,2,0,0,389,715
139,1,0,1,148,258
139,2,0,1,437,731
140,1,0,0,183,363
140,2,0,0,1096,2304
140,1,0,1,363,756
140,2,0,1,1212,2485
141,1,0,0,1436,2543
141,2,0,0,8535,14437
141,1,0,1,1967,3412
141,2,0,1,7597,12740
142,1,0,0,4,9
142,2,0,0,37,83
142,1,0,1,6,18
142,2,0,1,33,77
143,1,0,0,168,335
143,2,0,0,353,704
143,1,0,1,232,456
143,2,0,1,369,706
144,1,0,0,33,54
144,2,0,0,246,539
144,1,0,1,74,139
144,2,0,1,355,688
145,1,0,0,9,16
145,2,0,0,45,108
145,1,0,1,20,43
145,2,0,1,50,117
146,1,0,0,143,214
146,2,0,0,2454,4070
146,1,0,1,561,802
146,2,0,1,2797,4250
147,1,0,0,17,39
147,2,0,0,104,168
147,1,0,1,28,58
147,2,0,1,107,166
148,1,0,0,406,781
148,2,0,0,375,865
148,1,0,1,666,1288
148,2,0,1,360,707
149,1,0,0,369,623
149,2,0,0,1090,2201
149,1,0,1,815,1316
149,2,0,1,1336,2442
150,1,0,0,209,438
150,2,0,0,712,1721
150,1,0,1,188,443
150,2,0,1,865,1954
151,1,0,0,36,103
151,2,0,0,19,63
151,1,0,1,62,186
151,2,0,1,13,45
152,1,0,0,69,151
152,2,0,0,383,809
152,1,0,1,139,261
152,2,0,1,378,812
153,1,0,0,53,99
153,2,0,0,89,194
153,1,0,1,53,111
153,2,0,1,239,460
154,1,0,0,130,267
154,2,0,0,848,1767
154,1,0,1,297,575
154,2,0,1,1124,2112
155,1,0,0,104,235
155,2,0,0,563,1233
155,1,0,1,180,354
155,2,0,1,674,1426
156,1,0,0,848,1835
156,2,0,0,3889,8464
156,1,0,1,1082,2240
156,2,0,1,4008,8255
157,1,0,0,271,682
157,2,0,0,999,3050
157,1,0,1,415,1104
157,2,0,1,1053,2779
158,1,0,0,16,30
158,2,0,0,111,379
158,1,0,1,30,90
158,2,0,1,131,419
159,1,0,0,542,918
159,2,0,0,2671,4877
159,1,0,1,1013,1679
159,2,0,1,2695,4741
160,1,0,0,18,44
160,2,0,0,180,377
160,1,0,1,31,72
160,2,0,1,194,471
161,1,0,0,414,701
161,2,0,0,3947,8077
161,1,0,1,1086,1947
161,2,0,1,4637,8934
162,1,0,0,705,1245
162,2,0,0,4413,8345
162,1,0,1,1511,2775
162,2,0,1,4161,7212
163,1,0,0,184,297
163,2,0,0,647,1230
163,1,0,1,287,480
163,2,0,1,803,1366
164,1,0,0,32,73
164,2,0,0,193,380
164,1,0,1,76,137
164,2,0,1,170,330
165,1,0,0,52,133
165,2,0,0,426,1085
165,1,0,1,161,391
165,2,0,1,364,900
166,1,0,0,99,177
166,2,0,0,717,1404
166,1,0,1,244,455
166,2,0,1,846,1546
167,1,0,0,78,160
167,2,0,0,181,457
167,1,0,1,127,252
167,2,0,1,127,324
168,1,0,0,49,80
168,2,0,0,440,717
168,1,0,1,157,257
168,2,0,1,429,676
169,1,0,0,3,9
169,2,0,0,16,33
169,1,0,1,6,10
169,2,0,1,10,37
170,1,0,0,1750,3432
170,2,0,0,8895,16721
170,1,0,1,2900,5411
170,2,0,1,7178,13759
171,1,0,0,186,292
171,2,0,0,881,1549
171,1,0,1,343,517
171,2,0,1,963,1642
172,1,0,0,71,124
172,2,0,0,395,841
172,1,0,1,122,273
172,2,0,1,507,914
173,1,0,0,75,141
173,2,0,0,488,965
173,1,0,1,163,323
173,2,0,1,519,957
174,1,0,0,142,244
174,2,0,0,739,1259
174,1,0,1,237,440
174,2,0,1,742,1193
175,1,0,0,64,117
175,2,0,0,294,564
175,1,0,1,73,159
175,2,0,1,332,579
176,1,0,0,381,667
176,2,0,0,725,2337
176,1,0,1,739,1481
176,2,0,1,911,2757
177,1,0,0,67,116
177,2,0,0,354,672
177,1,0,1,148,257
177,2,0,1,486,841
178,1,0,0,40,69
178,2,0,0,332,799
178,1,0,1,131,248
178,2,0,1,605,1147
179,1,0,0,52,102
179,2,0,0,195,372
179,1,0,1,87,164
179,2,0,1,209,382
180,1,0,0,15,18
180,2,0,0,33,53
180,1,0,1,6,11
180,2,0,1,36,66
181,1,0,0,36,71
181,2,0,0,219,516
181,1,0,1,86,172
181,2,0,1,256,512
182,1,0,0,9,15
182,2,0,0,54,107
182,1,0,1,17,33
182,2,0,1,73,147
183,1,0,0,77,147
183,2,0,0,447,989
183,1,0,1,164,342
183,2,0,1,534,1022
184,1,0,0,1975,3727
184,2,0,0,12446,22230
184,1,0,1,3519,6482
184,2,0,1,9503,16340
185,1,0,0,60,103
185,2,0,0,113,245
