Gene,Rep,Temp.hot,N.Correct,N.total,N.is.SD,N.is.SC
22,1,1,235,237,1,0
22,2,1,140,143,1,0
22,1,1,28,29,0,1
22,2,1,83,90,0,1
23,1,1,3376,3387,1,0
23,2,1,2589,2605,1,0
23,1,1,3489,3707,0,1
23,2,1,2224,2338,0,1
24,1,1,130,148,1,0
24,2,1,94,98,1,0
24,1,1,143,143,0,1
24,2,1,132,132,0,1
25,1,1,1361,1361,1,0
25,2,1,345,345,1,0
25,1,1,786,786,0,1
25,2,1,598,599,0,1
26,1,1,3132,3137,1,0
26,2,1,2353,2354,1,0
26,1,1,2371,2613,0,1
26,2,1,2398,2664,0,1
27,1,1,294,294,1,0
27,2,1,471,472,1,0
27,1,1,450,496,0,1
27,2,1,424,470,0,1
28,1,1,42373,42393,1,0
28,2,1,27513,27532,1,0
28,1,1,9614,11524,0,1
28,2,1,13738,16588,0,1
29,1,1,3167,3172,1,0
29,2,1,2862,2865,1,0
29,1,1,2999,3045,0,1
29,2,1,2483,2513,0,1
30,1,1,10714,10767,1,0
30,2,1,9644,9665,1,0
30,1,1,10109,10152,0,1
30,2,1,11406,11480,0,1
31,1,1,1502,1502,1,0
31,2,1,1574,1576,1,0
31,1,1,1449,1561,0,1
31,2,1,848,933,0,1
32,1,1,173,173,1,0
32,2,1,147,147,1,0
32,1,1,221,221,0,1
32,2,1,176,176,0,1
33,1,1,552,554,1,0
33,2,1,621,621,1,0
33,1,1,817,822,0,1
33,2,1,743,749,0,1
34,1,1,186,186,1,0
34,2,1,189,191,1,0
34,1,1,104,113,0,1
34,2,1,87,92,0,1
35,1,1,17723,17832,1,0
35,2,1,19950,20041,1,0
35,1,1,25734,26543,0,1
35,2,1,25123,25940,0,1
36,1,1,1923,1925,1,0
36,2,1,1682,1686,1,0
36,1,1,2296,2372,0,1
36,2,1,2239,2315,0,1
37,1,1,3655,3672,1,0
37,2,1,2888,2905,1,0
37,1,1,3406,3550,0,1
37,2,1,3392,3522,0,1
38,1,1,2411,3892,1,0
38,2,1,2505,3952,1,0
38,1,1,2724,4606,0,1
38,2,1,2465,4077,0,1
39,1,1,901,903,1,0
39,2,1,921,924,1,0
39,1,1,1366,1404,0,1
39,2,1,1162,1196,0,1
40,1,1,455,456,1,0
40,2,1,578,581,1,0
40,1,1,764,788,0,1
40,2,1,905,916,0,1
41,1,1,565,565,1,0
41,2,1,1091,1096,1,0
41,1,1,1238,1258,0,1
41,2,1,1112,1137,0,1
42,1,1,468,468,1,0
42,2,1,604,605,1,0
42,1,1,815,849,0,1
42,2,1,738,766,0,1
43,1,1,539,541,1,0
43,2,1,700,701,1,0
43,1,1,895,895,0,1
43,2,1,823,823,0,1
44,1,1,2085,2089,1,0
44,2,1,2441,2443,1,0
44,1,1,2012,2054,0,1
44,2,1,3492,3568,0,1
45,1,1,304,304,1,0
45,2,1,414,414,1,0
45,1,1,538,541,0,1
45,2,1,432,433,0,1
46,1,1,8356,11451,1,0
46,2,1,7806,10574,1,0
46,1,1,9578,9906,0,1
46,2,1,9583,9900,0,1
47,1,1,275,276,1,0
47,2,1,356,356,1,0
47,1,1,405,406,0,1
47,2,1,424,425,0,1
48,1,1,1054,1056,1,0
48,2,1,1225,1226,1,0
48,1,1,2020,2055,0,1
48,2,1,1872,1915,0,1
49,1,1,97,98,1,0
49,2,1,116,116,1,0
49,1,1,348,386,0,1
49,2,1,352,383,0,1
50,1,1,143,146,1,0
50,2,1,125,127,1,0
50,1,1,229,232,0,1
50,2,1,223,229,0,1
51,1,1,282,287,1,0
51,2,1,601,603,1,0
51,1,1,1190,1252,0,1
51,2,1,1482,1583,0,1
52,1,1,136,145,1,0
52,2,1,170,181,1,0
52,1,1,197,239,0,1
52,2,1,186,253,0,1
53,1,1,1043,1046,1,0
53,2,1,1971,1979,1,0
53,1,1,1976,2022,0,1
53,2,1,1678,1705,0,1
54,1,1,79,80,1,0
54,2,1,43,43,1,0
54,1,1,34,39,0,1
54,2,1,35,39,0,1
55,1,1,35,35,1,0
55,2,1,49,50,1,0
55,1,1,27,27,0,1
55,2,1,41,41,0,1
56,1,1,2564,2588,1,0
56,2,1,2461,2469,1,0
56,1,1,3625,3660,0,1
56,2,1,3509,3586,0,1
57,1,1,830,866,1,0
57,2,1,676,720,1,0
57,1,1,659,739,0,1
57,2,1,562,656,0,1
58,1,1,227,255,1,0
58,2,1,149,172,1,0
58,1,1,135,189,0,1
58,2,1,148,209,0,1
59,1,1,999,1002,1,0
59,2,1,886,921,1,0
59,1,1,1257,1317,0,1
59,2,1,1192,1227,0,1
60,1,1,492,492,1,0
60,2,1,508,508,1,0
60,1,1,444,444,0,1
60,2,1,274,274,0,1
61,1,1,97,98,1,0
61,2,1,123,123,1,0
61,1,1,63,63,0,1
61,2,1,66,66,0,1
62,1,1,294,300,1,0
62,2,1,435,446,1,0
62,1,1,546,557,0,1
62,2,1,411,421,0,1
63,1,1,823,824,1,0
63,2,1,1465,1468,1,0
63,1,1,1468,1492,0,1
63,2,1,1385,1409,0,1
64,1,1,263,266,1,0
64,2,1,267,267,1,0
64,1,1,325,340,0,1
64,2,1,325,334,0,1
65,1,1,296,304,1,0
65,2,1,511,515,1,0
65,1,1,664,681,0,1
65,2,1,649,668,0,1
66,1,1,788,800,1,0
66,2,1,1115,1121,1,0
66,1,1,1157,1193,0,1
66,2,1,1116,1149,0,1
67,1,1,2211,2469,1,0
67,2,1,1954,2325,1,0
67,1,1,1856,1857,0,1
67,2,1,2504,2508,0,1
68,1,1,482,485,1,0
68,2,1,384,387,1,0
68,1,1,323,332,0,1
68,2,1,308,314,0,1
69,1,1,144,144,1,0
69,2,1,229,229,1,0
69,1,1,298,299,0,1
69,2,1,91,91,0,1
70,1,1,491,492,1,0
70,2,1,534,535,1,0
70,1,1,368,374,0,1
70,2,1,368,371,0,1
71,1,1,1088,1096,1,0
71,2,1,1156,1162,1,0
71,1,1,1079,1079,0,1
71,2,1,1219,1220,0,1
72,1,1,548,548,1,0
72,2,1,603,603,1,0
72,1,1,344,365,0,1
72,2,1,385,411,0,1
73,1,1,36,36,1,0
73,2,1,57,58,1,0
73,1,1,122,140,0,1
73,2,1,51,55,0,1
74,1,1,380,394,1,0
74,2,1,528,542,1,0
74,1,1,773,831,0,1
74,2,1,636,696,0,1
75,1,1,192,192,1,0
75,2,1,238,238,1,0
75,1,1,346,346,0,1
75,2,1,345,347,0,1
76,1,1,564,564,1,0
76,2,1,892,896,1,0
76,1,1,1020,1086,0,1
76,2,1,1111,1179,0,1
77,1,1,604,616,1,0
77,2,1,971,1003,1,0
77,1,1,1645,1687,0,1
77,2,1,1246,1272,0,1
78,1,1,3382,3386,1,0
78,2,1,3352,3357,1,0
78,1,1,3851,3876,0,1
78,2,1,4396,4416,0,1
79,1,1,1834,1912,1,0
79,2,1,1851,1957,1,0
79,1,1,1458,1460,0,1
79,2,1,1765,1770,0,1
80,1,1,259,272,1,0
80,2,1,299,309,1,0
80,1,1,295,316,0,1
80,2,1,272,290,0,1
81,1,1,515,517,1,0
81,2,1,344,344,1,0
81,1,1,430,439,0,1
81,2,1,474,481,0,1
82,1,1,229,233,1,0
82,2,1,230,239,1,0
82,1,1,206,224,0,1
82,2,1,192,201,0,1
83,1,1,176,177,1,0
83,2,1,147,148,1,0
83,1,1,93,99,0,1
83,2,1,94,103,0,1
84,1,1,1134,1136,1,0
84,2,1,1038,1041,1,0
84,1,1,1960,1962,0,1
84,2,1,2245,2248,0,1
85,1,1,1147,1147,1,0
85,2,1,1234,1238,1,0
85,1,1,932,992,0,1
85,2,1,1022,1084,0,1
86,1,1,217,219,1,0
86,2,1,332,339,1,0
86,1,1,430,439,0,1
86,2,1,363,381,0,1
87,1,1,1537,1924,1,0
87,2,1,1552,1964,1,0
87,1,1,1336,1357,0,1
87,2,1,2103,2136,0,1
88,1,1,619,638,1,0
88,2,1,1037,1101,1,0
88,1,1,1324,1364,0,1
88,2,1,1015,1066,0,1
89,1,1,106,109,1,0
89,2,1,140,142,1,0
89,1,1,175,176,0,1
89,2,1,192,192,0,1
90,1,1,328,337,1,0
90,2,1,622,630,1,0
90,1,1,1600,1601,0,1
90,2,1,1769,1771,0,1
91,1,1,581,586,1,0
91,2,1,1015,1021,1,0
91,1,1,1503,1518,0,1
91,2,1,1658,1680,0,1
92,1,1,55,55,1,0
92,2,1,59,59,1,0
92,1,1,102,125,0,1
92,2,1,107,134,0,1
93,1,1,321,322,1,0
93,2,1,362,363,1,0
93,1,1,519,521,0,1
93,2,1,490,490,0,1
94,1,1,507,508,1,0
94,2,1,660,661,1,0
