Name,SCfxSDm_20_2015,SCfxSDm_20_2016,SCfxSDm_35_2015,SCfxSDm_35_2016,SDfxSCm_20_2015,SDfxSCm_20_2016,SDfxSCm_35_2015,SDfxSCm_35_2016,SD_20_2015,SD_20_2016,SD_35_2015,SD_35_2016,SCN_20_2015,SCN_20_2016,SCN_35_2015,SCN_35_2016
SD_As4_Contig21427,16,88,47,135,43,103,58,67,35,111,85,74,104,43,79,72
SD_As4_Contig9953,152,584,303,887,190,580,326,249,298,504,398,440,476,339,313,250
SD_As4_Contig22025,104,1041,286,1327,243,1096,427,597,175,543,232,443,1223,737,962,977
SD_As4_Contig4800,58,559,221,780,105,313,220,244,84,172,164,170,298,342,300,269
SD_As4_Contig6808,192,939,495,1434,340,933,601,632,280,922,569,619,1003,791,958,875
SD_As4_Contig1908cap,21,179,43,222,25,191,25,137,9,23,15,48,0,7,1,4
SD_As4_Contig11254,88,296,344,640,135,285,289,343,183,313,415,314,218,265,352,285
SD_As4_Contig24477,11,59,33,92,12,65,24,22,36,46,45,32,37,25,31,29
SD_As4_Contig25cap,519,2627,1310,3937,912,2789,1581,1555,928,2197,1766,2269,2425,1601,2100,2001
SD_As4_Contig28279,7,104,24,128,26,126,32,91,11,46,28,37,144,60,110,198
SD_As4_Contig15098,218,981,530,1511,485,972,670,714,376,993,540,554,1014,893,864,927
SD_As4_Contig1224cap,37,496,132,628,132,555,168,291,114,355,181,281,552,355,602,581
SD_As4_Contig19048,5,23,12,35,2,22,9,2,11,20,12,10,14,16,19,12
SD_As4_Contig5478,628,3350,1713,5063,1192,2783,1681,2386,1272,2788,2261,2016,2040,1938,1463,1449
SD_As4_Contig32027,51,244,168,412,122,149,187,127,58,133,91,105,155,146,96,110
SD_As4_Contig654,250,1602,778,2380,521,2079,1070,1091,461,1154,1108,1520,1844,1033,1867,1799
SD_As4_Contig2528,313,967,755,1722,381,898,756,414,437,702,726,622,811,639,833,643
SD_As4_Contig23525,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0
SD_As4_Contig17842,22,93,336,429,29,184,381,184,62,99,385,583,51,30,296,312
SD_As4_Contig539cap,89,356,141,497,122,513,132,156,91,190,75,169,141,224,234,58
SD_As4_Contig5786,253,1374,526,1900,435,1393,656,666,493,1276,836,1074,1209,734,942,1008
SD_As4_Contig16987,1,5,3,8,2,17,2,1,2,17,5,4,1,1,4,2
SD_As4_Contig6309,285,2186,684,2870,320,1875,643,1345,730,1480,1415,1243,874,714,418,460
SD_As4_Contig19055,344,2119,972,3091,616,1791,896,1527,782,2020,1260,1147,1743,1283,1085,1334
SD_As4_Contig15053,1,2,3,5,2,0,2,1,0,3,2,0,2,8,3,6
SD_As4_Contig7497,82,453,212,665,139,400,197,327,154,406,222,229,423,367,370,383
SD_As4_Contig60496,43,67,143,210,70,39,122,52,32,85,76,42,119,164,103,64
SD_As4_Contig6689,178,1518,589,2107,397,1772,731,1297,303,806,675,864,1950,1214,1890,1853
SD_As4_Contig27029,18,91,47,138,32,49,48,28,32,70,47,50,58,63,40,51
SD_As4_Contig9957,78,591,199,790,161,679,265,293,224,692,330,617,308,277,233,267
SD_As4_Contig2074cap,278,1505,728,2233,547,1545,791,767,475,1248,677,848,1380,985,1166,1051
SD_As4_Contig11678,6,48,20,68,13,54,23,32,12,24,12,31,78,39,51,78
SD_As4_Contig4607,284,1501,568,2069,397,1458,539,733,521,1152,693,764,1170,948,871,832
SD_As4_Contig10298,157,800,349,1149,269,690,324,525,253,645,549,479,667,569,448,472
SD_As4_Contig7224,20,508,90,598,115,650,164,362,79,387,180,381,575,322,577,574
SD_As4_Contig8078,86,417,182,599,167,405,191,232,158,308,184,176,468,349,326,317
SD_As4_Contig4023,204,928,596,1524,326,1217,655,646,514,830,939,934,654,401,777,793
SD_As4_Contig1379cap,91,287,517,804,116,275,438,448,166,310,371,382,310,299,559,609
SD_As4_Contig8912,22,163,45,208,42,144,61,113,44,118,75,97,158,163,145,153
SD_As4_Contig7782,12,104,41,145,36,118,45,51,44,80,53,62,102,65,77,76
SD_As4_Contig1519,578,2730,1425,4155,1049,3346,1699,1856,1072,2458,1665,2144,2597,1778,2402,1997
SD_As4_Contig313cap,828,2756,2614,5370,1261,3399,2776,2543,919,2355,2763,2949,2774,2140,2731,2666
SD_As4_Contig1366,56,248,85,333,101,237,96,123,91,227,108,189,213,176,148,169
SD_As4_Contig2712,253,1272,675,1947,386,1362,956,767,309,975,873,1094,1275,868,1307,1367
SD_As4_Contig22483,54,256,94,350,106,224,92,101,103,204,93,97,250,170,200,142
SD_As4_Contig2547cap,10,34,24,58,13,29,19,21,16,29,32,25,20,27,42,16
SD_As4_Contig34557,5,15,4,19,5,12,11,7,11,19,6,14,3,3,2,3
SD_As4_Contig1124,120,1053,332,1385,329,1192,441,582,403,907,535,727,870,629,756,771
SD_As4_Contig1485,788,3937,2003,5940,1324,3730,2260,2644,968,2573,1837,1954,4089,3298,3178,3306
SD_As4_Contig12484,85,361,284,645,168,343,298,282,138,357,235,301,300,256,315,338
SD_As4_Contig4498,177,847,352,1199,241,965,439,343,319,769,456,448,931,755,823,754
SD_As4_Contig1007,621,1368,2224,3592,1032,1297,2446,1437,771,1605,1737,1634,1125,1085,1128,1220
SD_As4_Contig13783,6,15,23,38,6,23,20,13,7,10,14,15,24,32,49,44
SD_As4_Contig8796,96,615,1161,1776,155,698,954,1220,142,309,331,432,834,649,1525,1298
SD_As4_Contig22682,16,55,11,66,14,60,10,17,27,51,10,14,67,123,51,29
SD_As4_Contig9443,99,713,235,948,201,606,268,433,222,660,342,472,624,504,590,512
SD_As4_Contig11962,20,277,65,342,83,322,96,201,55,214,100,203,260,183,254,267
SD_As4_Contig21249,63,359,162,521,153,352,189,319,149,343,342,292,356,290,273,306
SD_As4_Contig44207,0,1,2,3,1,4,0,3,1,4,2,3,0,2,1,1
SD_As4_Contig2093,298,1500,756,2256,598,1829,883,1018,493,1231,787,1140,1549,1094,1563,1345
SD_As4_Contig8953,133,847,131,978,253,946,196,282,301,746,288,666,420,235,192,182
SD_As4_Contig4521,355,1881,902,2783,618,1915,925,1010,663,1403,973,1062,1630,1146,1190,1286
SD_As4_Contig11758,20,134,36,170,54,104,56,84,52,157,51,104,121,92,110,86
SD_As4_Contig2642,159,1114,434,1548,413,1102,483,723,432,1067,623,747,1117,887,899,945
SD_As4_Contig12858,231,585,568,1153,345,422,573,286,305,817,445,413,436,536,382,270
SD_As4_Contig4329,122,1026,321,1347,286,1312,471,746,261,904,461,846,1325,830,1173,1190
SD_As4_Contig1568,312,1914,639,2553,475,1571,562,758,729,1263,1114,784,1493,923,547,892
SD_As4_Contig4108,93,536,191,727,190,638,262,333,136,526,277,426,589,352,425,499
SD_As4_Contig16748,5,31,21,52,10,26,19,22,5,39,32,32,22,15,10,21
SD_As4_Contig12775,360,1469,1037,2506,619,1196,961,1286,564,1163,1151,1082,1305,1248,941,931
SD_As4_Contig1978,42,350,131,481,117,370,148,296,74,340,173,236,367,292,362,351
SD_As4_Contig15073,231,751,902,1653,274,423,564,283,354,587,575,376,347,244,188,233
SD_As4_Contig1705,36,31,53,84,66,2,77,4,77,38,48,101,2,3,1,3
SD_As4_Contig13355,32,25,82,107,26,19,45,9,22,33,46,9,12,32,8,14
SD_As4_Contig18043,12,72,30,102,27,87,25,43,19,84,45,28,58,59,34,31
SD_As4_Contig14559,7,7,6,13,2,13,6,1,3,11,15,7,17,22,23,13
SD_As4_Contig96752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD_As4_Contig37293,5,19,13,32,6,39,20,22,8,29,15,12,19,21,14,12
SD_As4_Contig27818,1,4,0,4,2,4,1,0,4,5,1,0,4,0,0,0
SD_As4_Contig99323,1,25,23,48,8,6,49,10,0,6,19,15,12,32,120,25
SD_As4_Contig15438,10,53,33,86,19,37,40,68,17,28,49,52,38,24,43,50
SD_As4_Contig1527cap,232,1626,671,2297,443,1884,815,904,477,1378,814,1217,1319,982,1181,1090
SD_As4_Contig26910,0,1,0,1,0,17,0,0,1,1,0,2,1,5,3,1
SD_As4_Contig64616,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0
SD_As4_Contig17495,9,118,60,178,18,43,44,49,23,92,142,73,39,62,32,21
SD_As4_Contig1819,14,73,20,93,19,96,37,52,30,36,109,32,145,246,100,114
SD_As4_Contig6598,599,562,2017,2579,703,599,1709,369,677,1183,1023,687,914,1387,1511,560
SD_As4_Contig47068,41,171,143,314,63,163,123,124,70,130,121,104,176,117,126,202
SD_As4_Contig9427,207,1065,553,1618,393,1301,641,544,365,979,656,797,1173,774,1003,900
SD_As4_Contig6784,370,2100,902,3002,687,2298,1261,1474,596,1563,951,1374,2278,1546,2270,2032
SD_As4_Contig13968,0,1,0,1,0,2,0,0,0,1,2,0,2,2,3,2
SD_As4_Contig67256,34,81,93,174,27,61,87,130,32,76,114,109,68,107,113,82
SD_As4_Contig7019,278,1298,1303,2601,670,1219,1211,1273,718,1195,1784,1780,1280,1059,1547,1654
SD_As4_Contig8778,43,160,97,257,51,188,77,69,66,91,70,114,120,62,181,137
SD_As4_Contig8709,85,617,210,827,169,674,235,325,179,536,259,397,546,359,516,507
SD_As4_Contig395,706,3459,1386,4845,1139,4699,1711,1413,1263,2275,1531,3157,3828,1821,3497,2990
SD_As4_Contig14970,55,236,63,299,57,250,58,43,117,215,97,80,170,151,87,60
SD_As4_Contig20914,1,2,0,2,0,3,0,0,1,3,3,3,1,0,1,0
SD_As4_Contig2781,197,1293,519,1812,447,1338,741,941,324,1001,648,891,1368,952,1200,1084
SD_As4_Contig1897,230,1389,684,2073,497,1498,786,1005,386,1043,828,1037,811,558,845,841
SD_As4_Contig5420,89,587,196,783,194,652,252,319,196,491,261,391,560,427,482,440
SD_As4_Contig1214cap,140,698,419,1117,289,958,497,670,246,650,506,577,565,439,521,591
SD_As4_Contig8447,104,530,166,696,117,542,190,221,223,485,286,222,301,353,293,216
SD_As4_Contig29906,30,65,69,134,22,58,52,64,39,60,28,41,65,52,60,82
SD_As4_Contig30356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SD_As4_Contig6723,70,488,123,611,152,602,195,238,148,378,217,349,440,307,442,490
SD_As4_Contig60858,1,5,6,11,1,3,2,2,2,6,0,0,1,9,13,20
SD_As4_Contig15168,6,14,11,25,9,19,8,7,1,6,6,5,26,27,13,14
SD_As4_Contig16282,100,409,227,636,196,398,284,261,108,252,191,169,538,483,437,342
SD_As4_Contig5714,378,2205,791,2996,686,2410,972,908,951,2090,1313,1437,1843,1294,1454,1500
SD_As4_Contig5858,680,4709,994,5703,782,2850,1018,633,1186,1955,1057,816,1964,756,574,953
SD_As4_Contig3526cap,25,122,98,220,42,123,55,101,44,142,116,88,73,98,75,44
SD_As4_Contig12028,82,356,135,491,113,441,125,82,153,269,162,263,185,166,151,114
SD_As4_Contig20554,23,91,38,129,23,143,36,20,44,109,60,82,28,69,65,24
SD_As4_Contig21721,17,108,35,143,31,96,20,31,24,44,15,14,84,54,50,79
SD_As4_Contig12874,41,390,106,496,108,348,174,218,93,274,200,222,371,327,321,304
SD_As4_Contig10368,137,879,372,1251,295,1102,503,482,342,727,651,615,741,428,729,710
SD_As4_Contig1734cap,170,699,370,1069,248,689,372,519,480,1112,776,602,779,594,565,359
SD_As4_Contig17646,6,123,29,152,28,126,48,106,18,62,25,62,221,148,228,238
SD_As4_Contig6308,167,1159,486,1645,361,1222,612,746,316,876,480,794,1197,883,1250,1202
SD_As4_Contig2386,1042,4637,2431,7068,1832,3569,3032,3095,1257,3365,2528,2486,3199,2987,2603,2433
SD_As4_Contig173,443,1808,1047,2855,772,2461,1319,1434,657,1391,1041,1691,2437,1618,2365,1856
SD_As4_Contig8837,112,597,334,931,208,644,323,390,215,500,373,451,539,423,414,453
SD_As4_Contig947,187,960,522,1482,407,1071,603,727,304,780,589,725,1075,884,990,882
SD_As4_Contig486cap,8,53,32,85,25,48,28,45,28,48,43,34,40,25,30,36
SD_As4_Contig3010cap,63,847,234,1081,231,1095,369,507,175,638,342,647,934,536,908,854
